Period;Activity Period;DMS;Territory;Orchard UPC;Manufacturer's UPC;Label Catalog #;Imprint Label;Artist Name;Release Name;Track Name;ISRC;Volume;Track #;Quantity;Trans Type;Label Share Net Receipts;Preferred Currency
2017M10;2017M9;YouTube;Germany;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;6;AV;0,020354;EUR
2017M10;2017M9;YouTube;United Kingdom;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;8;AV;0,00365;EUR
2017M10;2017M9;YouTube;Philippines;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;1;AV;0,000362;EUR
2017M10;2017M9;YouTube Red;USA;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;1;SV;0,005074;EUR
2017M10;2017M9;YouTube;Mexico;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;3;AV;0,001395;EUR
2017M10;2017M9;YouTube;USA;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;17;AV;0,067672;EUR
2017M10;2017M9;YouTube;Colombia;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;7;AV;0,003003;EUR
2017M10;2017M9;YouTube;Japan;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;2;AV;0,001034;EUR
2017M10;2017M9;YouTube;Sweden;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;1;AV;0,001193;EUR
2017M10;2017M9;YouTube;Canada;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;1;AV;0,001302;EUR
2017M10;2017M9;YouTube;Spain;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESV011700065;1;1;599;AV;0,258066;EUR
2017M10;2017M9;Spotify;Chile;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;2;S;0,002552;EUR
2017M10;2017M9;Spotify;United Kingdom;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;6;S;0,023285;EUR
2017M10;2017M9;Spotify;Colombia;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;2;AS;0,000326;EUR
2017M10;2017M9;Spotify;Argentina;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;1;S;0,001426;EUR
2017M10;2017M9;Spotify;Chile;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;2;AS;0,00023;EUR
2017M10;2017M9;Spotify;United Kingdom;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;6;S;0,023285;EUR
2017M10;2017M9;Spotify;Peru;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;1;AS;0,000067;EUR
2017M10;2017M9;Spotify;Colombia;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;2;AS;0,000326;EUR
2017M10;2017M9;Spotify;Argentina;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;1;AS;0,000065;EUR
2017M10;2017M9;Spotify;Argentina;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;1;AS;0,000065;EUR
2017M10;2017M9;Spotify;Panama;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;1;S;0,001721;EUR
2017M10;2017M9;Spotify;Panama;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;1;S;0,001721;EUR
2017M10;2017M9;Spotify;Spain;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;54;S;0,155287;EUR
2017M10;2017M9;Spotify;Peru;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;1;AS;0,000067;EUR
2017M10;2017M9;Spotify;Spain;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;449;AS;0,11171;EUR
2017M10;2017M9;Spotify;Spain;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;54;S;0,155287;EUR
2017M10;2017M9;Spotify;Chile;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;2;S;0,002552;EUR
2017M10;2017M9;Spotify;Spain;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;449;AS;0,11171;EUR
2017M10;2017M9;Spotify;Chile;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;2;AS;0,00023;EUR
2017M10;2017M9;Spotify;Argentina;1,91774E+11;;JUNIOR1;BIG ARTIST;Junior Mackenzie;Haze;Haze;ESA011791291;1;1;1;S;0,001426;EUR